validation_timestamp,domain,health_score,validation_score,completeness_percentage,validation_passed,contracts_analyzed
2025-08-28,projectconfig,77.67,40.0,75.66,100.0,3
2025-08-28,salesforce,78.77,40.0,79.16,100.0,3
2025-08-28,towerdatahub,81.05,40.0,86.76,100.0,2
2025-08-29,default,82.5,40.0,91.67,100.0,1
2025-08-29,salesforce,74.4,40.0,64.71,100.0,1
2025-08-29,sap_bw,65.28,40.0,34.28,100.0,11
2025-08-29,towerdatahub,56.1,20.0,95.4,50.0,2
2025-08-29,towerselect,79.24,40.0,80.79,100.0,5
2025-09-04,projectconfig,77.67,40.0,75.66,100.0,3
2025-09-04,salesforce,76.5,40.0,71.72,100.0,3
2025-09-04,towerdatahub,81.05,40.0,86.76,100.0,2
2025-09-04,towerselect,28.1,0.0,93.75,0.0,1
2025-09-05,default,96.25,40.0,91.67,100.0,2
2025-09-05,salesforce,74.4,40.0,64.71,100.0,1
2025-09-05,sap_bw,65.96,40.0,36.54,100.0,11
2025-09-05,towerdatahub,84.1,40.0,97.06,100.0,1
2025-09-05,towerselect,70.72,33.33,82.95,83.33,6
